"จังหวัด","ปี","ผลผลิต(ตัน)","สัดส่วน","เนื้อที่เก็บเกี่ยว(ไร่)","ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)","","","","","","","","","","",""
"นครราชสีมา","2020","4,628,006","16%","1,398,488","3,309.29","","","","","","","","","","",""
"กำแพงเพชร","2020","2,250,642","8%","706,739","3,184.54","","","","","","","","","","",""
"ชัยภูมิ","2020","1,847,589","6%","648,646","2,848.38","","","","","","","","","","",""
"กาญจนบุรี","2020","1,643,813","6%","497,377","3,304.96","","","","","","","","","","",""
"อุบลราชธานี","2020","1,541,735","5%","444,515","3,468.35","","","","","","","","","","",""
"สระแก้ว","2020","1,138,197","4%","344,405","3,304.82","","","","","","","","","","",""
"อุดรธานี","2020","1,078,278","4%","308,577","3,494.36","","","","","","","","","","",""
"นครสวรรค์","2020","1,044,515","4%","359,495","2,905.51","","","","","","","","","","",""
"บุรีรัมย์","2020","989,256","3%","268,186","3,688.69","","","","","","","","","","",""
"กาฬสินธุ์","2020","971,296","3%","271,433","3,578.40","","","","","","","","","","",""
"ลพบุรี","2020","924,160","3%","296,570","3,116.16","","","","","","","","","","",""
"เลย","2020","880,288","3%","299,470","2,939.49","","","","","","","","","","",""
"ฉะเชิงเทรา","2020","785,894","3%","217,849","3,607.52","","","","","","","","","","",""
"ขอนแก่น","2020","758,090","3%","235,940","3,213.06","","","","","","","","","","",""
"เพชรบูรณ์","2020","723,077","2%","230,257","3,140.30","","","","","","","","","","",""
"ศรีสะเกษ","2020","619,111","2%","191,566","3,231.84","","","","","","","","","","",""
"ชลบุรี","2020","586,686","2%","151,573","3,870.65","","","","","","","","","","",""
"อุทัยธานี","2020","553,312","2%","174,838","3,164.71","","","","","","","","","","",""
"พิษณุโลก","2020","519,398","2%","163,938","3,168.26","","","","","","","","","","",""
"สุรินทร์","2020","496,180","2%","135,004","3,675.30","","","","","","","","","","",""
"มหาสารคาม","2020","488,907","2%","152,859","3,198.42","","","","","","","","","","",""
"ตาก","2020","435,333","2%","134,064","3,247.20","","","","","","","","","","",""
"มุกดาหาร","2020","417,575","1%","123,749","3,374.37","","","","","","","","","","",""
"ปราจีนบุรี","2020","396,738","1%","110,612","3,586.75","","","","","","","","","","",""
"สกลนคร","2020","388,089","1%","124,520","3,116.68","","","","","","","","","","",""
"อำนาจเจริญ","2020","321,410","1%","102,105","3,147.84","","","","","","","","","","",""
"ยโสธร","2020","305,904","1%","88,325","3,463.39","","","","","","","","","","",""
"ราชบุรี","2020","275,804","1%","83,460","3,304.62","","","","","","","","","","",""
"สุโขทัย","2020","253,555","1%","84,733","2,992.40","","","","","","","","","","",""
"ร้อยเอ็ด","2020","218,292","1%","62,703","3,481.36","","","","","","","","","","",""
"หนองบัวลำภู","2020","191,754","1%","61,308","3,127.72","","","","","","","","","","",""
"สุพรรณบุรี","2020","167,623","1%","54,129","3,096.73","","","","","","","","","","",""
"ชัยนาท","2020","159,796","1%","64,160","2,490.59","","","","","","","","","","",""
"ระยอง","2020","152,180","1%","36,595","4,158.49","","","","","","","","","","",""
"สระบุรี","2020","120,123","0%","40,062","2,998.43","","","","","","","","","","",""
"ลำปาง","2020","114,852","0%","39,782","2,887.03","","","","","","","","","","",""
"อุตรดิตถ์","2020","87,799","0%","27,472","3,195.94","","","","","","","","","","",""
"เชียงราย","2020","81,250","0%","31,598","2,571.37","","","","","","","","","","",""
"แพร่","2020","72,560","0%","24,531","2,957.89","","","","","","","","","","",""
"น่าน","2020","67,058","0%","23,323","2,875.19","","","","","","","","","","",""
"นครพนม","2020","62,183","0%","23,186","2,681.92","","","","","","","","","","",""
"พะเยา","2020","57,807","0%","21,112","2,738.11","","","","","","","","","","",""
"จันทบุรี","2020","57,669","0%","16,981","3,396.09","","","","","","","","","","",""
"พิจิตร","2020","42,479","0%","13,665","3,108.60","","","","","","","","","","",""
"หนองคาย","2020","31,428","0%","10,494","2,994.85","","","","","","","","","","",""
"บึงกาฬ","2020","18,076","0%","6,318","2,861.03","","","","","","","","","","",""
"เพชรบุรี","2020","10,899","0%","3,844","2,835.33","","","","","","","","","","",""
"เชียงใหม่","2020","10,468","0%","3,579","2,924.84","","","","","","","","","","",""
"ลำพูน","2020","8,136","0%","3,041","2,675.44","","","","","","","","","","",""
"ประจวบคีรีขันธ์","2020","3,054","0%","842","3,627.08","","","","","","","","","","",""
"นครนายก","2020","777","0%","219","3,547.95","","","","","","","","","","",""
"อยุธยา","2020","21","0%","13","1,615.38","","","","","","","","","","",""
"นครนายก","2020","777","0%","219","3,547.95","","","","","","","","","","",""
"อยุธยา","2020","21","0%","13","1,615.38","","","","","","","","","","",""
