จังหวัด,เนื้อที่เพาะปลูก,เนื้อที่เก็บเกี่ยว,ผลผลิต,ผลผลิต/
,(ไร่),(ไร่),(ตัน),เนื้อที่เก็บเกี่ยว (ก.ก.)
กาฬสินธุ์,"289,629","287,706","1,057,315",3
ขอนแก่น,"270,383","265,059","891,604",3
ชัยภูมิ,"879,216","557,401","1,795,560",3
นครพนม,"27,169","26,868","82,485",3
นครราชสีมา,"1,636,494","1,431,521","4,929,829",3
บึงกาฬ,"7,611","7,587","22,015",2
บุรีรัมย์,"373,849","358,076","1,386,885",3
มหาสารคาม,"168,197","165,049","544,279",3
มุกดาหาร,"134,545","133,852","477,769",3
ยโสธร,"100,128","98,584","352,421",3
ร้อยเอ็ด,"66,213","65,562","234,384",3
ศรีสะเกษ,"218,648","202,080","698,448",3
สกลนคร,"162,139","159,917","522,468",3
สุรินทร์,"159,759","142,656","523,472",3
หนองคาย,"19,679","19,589","66,127",3
หนองบัวลำภู,"99,902","98,893","348,232",3
อำนาจเจริญ,"136,853","134,840","462,839",3
อุดรธานี,"428,741","425,702","1,589,487",3
อุบลราชธานี,"530,167","523,248","1,885,648",3
เลย,"323,162","320,088","1,029,475",3
